#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
2954,37,54561,0.05649294, , , ,0.802146706,0.98790972,0.342040105,0.096631265,0.130872264,0.208291586,0.398411711,0.035704703,0.053479519,0.004650765,0.014725582,0.883011748,1.546406811,4.393834804,0.010422538, ,0.105367469,0.055363599,0.021790506,0.043930967,2.73733642,0.128915321,0.20589266,0.150630271
4317,57,55480,0.1450429, ,2.910061143,0.109867685,0.308943262,1.608169316,0.517956776,0.10417826,0.208127803,0.261779535,0.498425876,0.074626133, , , ,1.120874278,2.235352306,6.419333244, , ,0.128413691,0.055638534,0.010024885,0.036564764,3.474710263,0.107767931,0.222360092,0.144482491
693,463,52254,0.08846061, , , ,0.6162499,0.79309701,0.510230192,0.170130382,0.142447606,0.236757257,0.450574759,0.057169637, , , ,0.994258933,2.220714158,6.343267126, , ,0.121824599,0.035575233,0.006750532,0.036906228,3.082202691,0.108536271,0.122091211,0.096243032
6293,573,56561,0.105871, ,0.002572587,0.02042502,0.884604121,1.134986563,0.434977443,0.143571307,0.184967263,0.217421396,0.391144575,0.050458797,0.001077772,0.00356398, ,0.819821993,1.670976459,4.732068871,0.005401835,0.001280246,0.084663048,0.052066493,0.018266591,0.05777143,2.541448179,0.169300167,0.162835082,0.131188239
1824,63,53491,0.1061823, , ,4.135498128,0.760146701,1.237725485,0.392207837,0.227810149,0.054669836,0.243203533,0.450474362,0.03578017,0.010738612,0.008616497, ,0.940778861,1.653703215,4.712011002, ,0.001483723,0.114736363,0.054079732,0.026612135,0.0498048,2.916414471,0.146321376,0.196967554,0.145645406
1801,525,54156,0.1234649, , ,0.1333203,0.315371644,0.586826391,0.46410239,0.144232938,0.163464304,0.241598853,0.454855497,0.095597971,0.00483746,0.014522242,0.016839299,1.02127651,2.339516951,6.690619593, , ,0.117819488,0.027731868,0.011594451,0.025508314,3.165957182,0.075053329,0.113599214,0.087206468
2947,562,54533,0.07557455, , , ,0.936096691,1.536042262,0.397900453,0.157513783,0.151352846,0.26973249,0.492160475,0.044869594, , , ,1.04050155,1.712850264,4.902537711, ,0.008108362,0.124252302,0.062895623,0.018569793,0.058095734,3.225554806,0.170993823,0.270656094,0.211356089
2284,545,53708,0.1255484, , ,3.489761583,0.903323122,0.803483807,0.418603612,0.243239898,0.057285942,0.248740772,0.468189066,0.047232169, , , ,1.04474074,1.807827431,5.175322005,0.010052339, ,0.132265556,0.051626079,0.023519387,0.213506943,3.238696295,0.628463841,0.204503307,0.162548553
2348,402,53757,0.2219052,0.046792268, ,0.005140428,0.319069172,0.501366584,0.496965018,0.123538245,0.235706009,0.263464597,0.474037393,0.09940444,0.030839867, , ,1.000412277,2.265383246,6.472639395, ,0.012754248,0.125062319,0.026654135,0.015463762,0.033899405,3.101278059,0.099704904,0.123810641,0.070978143
4232,200,55447,0.08777896, ,0.043517369,0.040379257,0.368724493,0.60165744,0.307119029,0.098532488,0.164711517,0.236528976,0.413500534,0.072515975,0.013014473,0.003594635,0.00267818,0.974865122,1.509443116,4.307796298,0.001260716,0.006230469,0.101827563,0.027302839,0.003329644,0.01540235,3.022081879,0.045279985,0.108713214,0.074573883
